IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
356,"City of Taunton, MA: Section 1402 Inclusionary Housing",Section 1402 Inclusionary Housing,City of Taunton,Town or city,1600000US2569170,Place,"141 Oak Street, Taunton, MA 02780",Taunton,Bristol,MA,Massachusetts,2780,Entire jurisdiction,,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, in-lieu fee",,10% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
360,"Town of Acton, MA: Section 9B Senior Residence District",Section 9B Senior Residence District,Town of Acton,Town or city,0600000US2501700380,County Subdivision,"472 Main Street, Acton, MA 01720",Acton,Middlesex,MA,Massachusetts,1720,"Certain zones, neighborhoods, or districts",2000,,Regional Housing Service Office (RHSO) monitors units,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, in-lieu fee",8 acres (parcel),20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,11,11,$11 ,,,,,,,,,,,,,,,,,
362,"Town of Aquinnah, MA: Section 3.3-4 One Family and Two Family Dwellings",Section 3.3-4 One Family and Two Family Dwellings,Town of Aquinnah,Town or city,0600000US2500701585,County Subdivision,"953-55-57 State Road, Aquinnah, MA 02535",Aquinnah,Dukes,MA,Massachusetts,2535,"Certain zones, neighborhoods, or districts",2016,,Island Housing Trust,2019,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,2 acres (parcel),100% of total project units,Yes,120% AMI,80% AMI,Multiple options of income targeting requirement,,,,,,30 years,Yes,,,0,,,,,,,,,,,,,,,,,,,,
364,"Town of Ayer, MA: Section 10.3 Affordable Housing",Section 10.3 Affordable Housing,Town of Ayer,Town or city,0600000US2501703005,County Subdivision,"1 Main Street, Ayer, MA 01432",Ayer,Middlesex,MA,Massachusetts,1432,Entire jurisdiction,2018,2019,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, off-site units, in-lieu fee",5 units,20% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
366,"Town of Becket, MA: Section 7.1 Flexible Residential Development",Section 7.1 Flexible Residential Development,Town of Becket,Town or city,0600000US2500304545,County Subdivision,"557 Main Street, Becket, MA 01223",Becket,Berkshire,MA,Massachusetts,1223,Entire jurisdiction,2010,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,10 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
367,"Town of Bedford, MA: Section 16.9 Multiple Dwelling Units on a Lot",Section 16.9 Multiple Dwelling Units on a Lot,Town of Bedford,Town or city,0600000US2501704615,County Subdivision,"10 Mudge Way, Bedford, MA 01730",Bedford,Middlesex,MA,Massachusetts,1730,"Certain zones, neighborhoods, or districts",2006,,Regional Housing Services Office,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,On-site units,10 acres (parcel),15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,12,12,,,,,,,,,,,,,,,,,,
369,"Town of Bedford, MA: Section 18.5.16 Depot Area Mixed Use Overlay District",Section 18.5.16 Depot Area Mixed Use Overlay District,Town of Bedford,Town or city,0600000US2501704615,County Subdivision,"10 Mudge Way, Bedford, MA 01730",Bedford,Middlesex,MA,Massachusetts,1730,"Certain zones, neighborhoods, or districts",2006,,Regional Housing Services Office,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance",On-site units,8 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,2,2,,,,,,,,,,,,,,,,,,
370,"Town of Bedford, MA: Section 9.2.2.3 Planned Residential Development",Section 9.2.2.3 Planned Residential Development,Town of Bedford,Town or city,0600000US2501704615,County Subdivision,"10 Mudge Way, Bedford, MA 01730",Bedford,Middlesex,MA,Massachusetts,1730,"Certain zones, neighborhoods, or districts",1979,,Regional Housing Services Office,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,,The set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,,,,,,,,,,,,,,,,,,,,
372,"Town of Bellingham, MA: Article 22 Mill Reuse Overlay District",Article 22 Mill Reuse Overlay District,Town of Bellingham,Town or city,0600000US2502104930,County Subdivision,"10 Mechanic Street, Bellingham, MA 02019",Bellingham,Norfolk,MA,Massachusetts,2019,"Certain zones, neighborhoods, or districts",,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Density bonus, other zoning variance","On-site units, rehab regulated units",,5% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
375,"Town of Belmont, MA: Section 6.3A Public Building and School Conversion",Section 6.3A Public Building and School Conversion,Town of Belmont,Town or city,0600000US2501705070,County Subdivision,"455 Concord Avenue, Belmont, MA 02478",Belmont,Middlesex,MA,Massachusetts,2478,Entire jurisdiction,2005,2007,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Other zoning variances,On-site units,5 units,20% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
376,"Town Of Belmont, MA: Section 6.5.3 Cluster Development",Section 6.5.3 Cluster Development,Town Of Belmont,Town or city,0600000US2501705070,County Subdivision,"455 Concord Avenue, Belmont, MA 02478",Belmont,Middlesex,MA,Massachusetts,2478,"Certain zones, neighborhoods, or districts",1987,2003,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,5 units,25% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
380,"Town of Bolton, MA: Section 27 Inclusionary Housing",Section 27 Inclusionary Housing,Town of Bolton,Town or city,0600000US2502706365,County Subdivision,"663 Main Street, Bolton, MA 01740",Bolton,Worcester,MA,Massachusetts,1740,Entire jurisdiction,2003,2017,Metro West CD,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, off-site units, rehab regulated units, in-lieu fee, donate land",8 units,11% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
381,"Town of Bourne, MA: Section 2842 General Performance Standards for Residential Uses",Section 2842 General Performance Standards for Residential Uses,Town of Bourne,Town or city,0600000US2500107175,County Subdivision,"24 Perry Avenue, Bourne, MA 02532",Bourne,Barnstable,MA,Massachusetts,2532,Entire jurisdiction,2008,2017,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Other zoning variances,"On-site units, off-site units, in-lieu fee",10 units,15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
382,"Town of Bourne, MA: Section 4260 Nonconforming Affordable Lots",Section 4260 Nonconforming Affordable Lots,Town of Bourne,Town or city,0600000US2500107175,County Subdivision,"24 Perry Avenue, Bourne, MA 02532",Bourne,Barnstable,MA,Massachusetts,2532,Entire jurisdiction,2010,,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Other zoning variances,On-site units,,,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
383,"Town of Boylston, MA: Section 16 Inclusionary Zoning",Section 16 Inclusionary Zoning,Town of Boylston,Town or city,0600000US2502707525,County Subdivision,"221 Main Street, Boylston, MA 01505",Boylston,Worcester,MA,Massachusetts,1505,"Certain zones, neighborhoods, or districts",,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Other zoning variances,"On-site units, off-site units, in-lieu fee",8 units,15% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,$0 ,,,,,,,,,,,,,,,,,
384,"Town of Bridgewater, MA: Section 18 Waterford Village Smart Growth Overlay District",Section 18 Waterford Village Smart Growth Overlay District,Town of Bridgewater,Town or city,0600000US2502308085,County Subdivision,"66 Central Square, Bridgewater, MA 02324",Bridgewater,Plymouth,MA,Massachusetts,2324,"Certain zones, neighborhoods, or districts",2007,,,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,"Other zoning variances, expedited permitting",On-site units,,20% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
414,"Town of Dunstable, MA: Section 23 Mixed Use District",Section 23 Mixed Use District,Town of Dunstable,Town or city,0600000US2501717825,County Subdivision,"511 Main Street, Dunstable, MA 01827",Dunstable,Middlesex,MA,Massachusetts,1827,"Certain zones, neighborhoods, or districts",2004,,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,,5% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
415,"Town of Dunstable, MA: Section 6.7.1 Senior Residential Multifamily Development",Section 6.7.1 Senior Residential Multifamily Development,Town of Dunstable,Town or city,0600000US2501717825,County Subdivision,"511 Main Street, Dunstable, MA 01827",Dunstable,Middlesex,MA,Massachusetts,1827,"Certain zones, neighborhoods, or districts",2002,2009,,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,On-site units,,5% of total project units. And the set-aside requirement varies.,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,,,,,,,,,,,,,,,,,,
416,"Town of Duxbury, MA: Article 560 Inclusionary Zoning",Article 560 Inclusionary Zoning,Town of Duxbury,Town or city,0600000US2502317895,County Subdivision,"878 Tremont Street, Duxbury, MA 02332",Duxbury,Plymouth,MA,Massachusetts,2332,Entire jurisdiction,2004,2015,None,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,None,"On-site units, off-site units, rehab regulated units, renovate unregulated units, in-lieu fee, donate land",6 units,10% of total project units,No,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,0,0,"$1,700,000 ",,,,,,,,,,,,,,,,,
420,"Town of Georgetown, MA: Article 7 Open Space Residential Development",Article 7 Open Space Residential Development,Town of Georgetown,Town or city,0600000US2500925625,County Subdivision,"1 Library Street, Georgetown, MA 01833",Georgetown,Essex,MA,Massachusetts,1833,"Certain zones, neighborhoods, or districts",2005,2018,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, state may remove affordable units from the subsidized housing inventory",Yes,Density bonus,"On-site units, in-lieu fee",,25% of total project units,Yes,80% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 80% AMI,,30 years,Yes,30 years,Yes,0,4,4,,,,,,,,,,,,,,,,,,
